height,weight,age,score,city,grade,signup_date
175.0,57.8,51.0,50.0,Changwon,C,2023-01-01
168.6,87.2,50.0,62.0,,A,2023-01-11
,64.8,65.0,95.0,Suwon,F,2023-01-21
185.2,52.3,,51.0,Ulsan,A,2023-01-31
167.7,74.9,41.0,95.0,Seoul,A,2023-02-10
167.7,,54.0,3.0,Seoul,C,2023-02-20
185.8,67.5,52.0,93.0,Suwon,A,
,41.5,61.0,22.0,Suwon,B,2023-03-12
165.3,49.1,57.0,14.0,Daegu,B,2023-03-22
175.4,67.4,39.0,,Suwon,D,2023-04-01
165.4,73.9,44.0,28.0,Incheon,F,2023-04-11
165.3,67.1,,35.0,Ulsan,A,2023-04-21
172.4,63.6,18.0,12.0,Gwangju,A,2023-05-01
150.9,61.4,52.0,31.0,Sejong,C,2023-05-11
152.8,47.3,54.0,70.0,,B,2023-05-21
,56.4,64.0,58.0,Daejeon,F,2023-05-31
159.9,59.5,31.0,85.0,Seoul,D,2023-06-10
173.1,77.7,20.0,27.0,Incheon,B,2023-06-20
160.9,,18.0,65.0,Changwon,D,2023-06-30
155.9,43.8,22.0,41.0,Sejong,C,
184.7,68.9,43.0,,Gwangju,C,2023-07-20
167.7,60.4,31.0,61.0,Sejong,A,2023-07-30
,56.9,56.0,56.0,Suwon,F,2023-08-09
155.8,72.3,44.0,5.0,Daegu,D,2023-08-19
164.6,77.4,26.0,27.0,Seoul,B,2023-08-29
171.1,76.2,,27.0,Seoul,C,2023-09-08
158.5,54.9,32.0,43.0,Changwon,A,2023-09-18
173.8,61.3,43.0,83.0,Daegu,A,
164.0,69.0,59.0,29.0,,D,2023-10-08
167.1,76.7,30.0,61.0,Busan,C,2023-10-18
